"col1","id","sample_id","reviewer_id","smell","severity","review_timestamp","type","name","analysis_timestamp","name..10","language","repository","commit_hash","sample_id..14","abc_size","accessors","arity","attributes","average_method_complexity","average_not_accessor_or_mutator_method_complexity","block_nesting","children","cyclo","depth","functions_m","instability","instance_variables","lines_of_code","methods","methods_weighted","mutators","not_accessors_or_mutators","not_accessors_or_mutators_weighted","pmd_amw","pmd_atfd","pmd_cbo","pmd_cyclo","pmd_dit","pmd_fanout","pmd_lcom5","pmd_loc","pmd_locnamm","pmd_ncss","pmd_nlv","pmd_nmo","pmd_noa","pmd_noam","pmd_noc","pmd_nocm","pmd_nofa","pmd_nom","pmd_nomnamm","pmd_nonfnsa","pmd_nonfnsm","pmd_nop","pmd_nopa","pmd_nopm","pmd_nopra","pmd_nopva","pmd_nos","pmd_npath","pmd_tcc","pmd_wmc","pmd_wmcnamm","pmd_woc","return_values","tree_impurity","used_by","uses"
"1",1902,3698323,5,"data class","none",2019-03-29 14:32:15,"class","com.amazon.ask.dispatcher.request.handler.impl.PlaybackNearlyFinishedRequestHandler",2019-03-25 16:38:49,"git@github.com:alexa/alexa-skills-kit-sdk-for-java.git","java","git@github.com:alexa/alexa-skills-kit-sdk-for-java.git","bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9",3698323,5.16227766016838,0,NA,0,0.25,0.25,NA,11,NA,2,4,1,0,13,4,1,0,4,1,NA,NA,NA,NA,NA,NA,NA,34,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2
"2",1901,3698323,5,"blob","none",2019-03-29 14:32:15,"class","com.amazon.ask.dispatcher.request.handler.impl.PlaybackNearlyFinishedRequestHandler",2019-03-25 16:38:49,"git@github.com:alexa/alexa-skills-kit-sdk-for-java.git","java","git@github.com:alexa/alexa-skills-kit-sdk-for-java.git","bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9",3698323,5.16227766016838,0,NA,0,0.25,0.25,NA,11,NA,2,4,1,0,13,4,1,0,4,1,NA,NA,NA,NA,NA,NA,NA,34,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2
"3",1896,3698602,1,"long method","none",2019-03-29 14:31:44,"function","com.amazon.ask.request.mapper.impl.BaseRequestMapper.Builder#build",2019-03-25 16:38:49,"git@github.com:alexa/alexa-skills-kit-sdk-for-java.git","java","git@github.com:alexa/alexa-skills-kit-sdk-for-java.git","bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9",3698602,1,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,3,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA
"4",1895,3698602,1,"feature envy","none",2019-03-29 14:31:44,"function","com.amazon.ask.request.mapper.impl.BaseRequestMapper.Builder#build",2019-03-25 16:38:49,"git@github.com:alexa/alexa-skills-kit-sdk-for-java.git","java","git@github.com:alexa/alexa-skills-kit-sdk-for-java.git","bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9",3698602,1,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,3,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA
"5",1897,3698665,5,"feature envy","none",2019-03-29 14:31:54,"function","com.amazon.ask.builder.impl.AbstractSkillBuilder#addExceptionHandler GenericExceptionHandler<Input, Output>",2019-03-25 16:38:49,"git@github.com:alexa/alexa-skills-kit-sdk-for-java.git","java","git@github.com:alexa/alexa-skills-kit-sdk-for-java.git","bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9",3698665,2,NA,1,NA,NA,NA,0,NA,0,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,4,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,1,NA,NA,NA,NA,0,NA,NA,NA
"6",1898,3698665,5,"long method","none",2019-03-29 14:31:54,"function","com.amazon.ask.builder.impl.AbstractSkillBuilder#addExceptionHandler GenericExceptionHandler<Input, Output>",2019-03-25 16:38:49,"git@github.com:alexa/alexa-skills-kit-sdk-for-java.git","java","git@github.com:alexa/alexa-skills-kit-sdk-for-java.git","bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9",3698665,2,NA,1,NA,NA,NA,0,NA,0,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,4,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,1,NA,NA,NA,NA,0,NA,NA,NA
"7",1894,3698860,5,"feature envy","none",2019-03-29 14:31:41,"function","com.alibaba.android.arouter.facade.model.RouteMeta#toString",2019-03-25 16:38:58,"git@github.com:alibaba/ARouter.git","java","git@github.com:alibaba/ARouter.git","93b328569bbdbf75e4aa87f0ecf48c69600591b2",3698860,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,13,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA
"8",1893,3698860,5,"long method","none",2019-03-29 14:31:41,"function","com.alibaba.android.arouter.facade.model.RouteMeta#toString",2019-03-25 16:38:58,"git@github.com:alibaba/ARouter.git","java","git@github.com:alibaba/ARouter.git","93b328569bbdbf75e4aa87f0ecf48c69600591b2",3698860,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,13,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA
"9",1900,3699227,1,"long method","none",2019-03-29 14:31:55,"function","com.alibaba.android.arouter.facade.enums.#getClassName",2019-03-25 16:38:58,"git@github.com:alibaba/ARouter.git","java","git@github.com:alibaba/ARouter.git","93b328569bbdbf75e4aa87f0ecf48c69600591b2",3699227,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"10",1899,3699227,1,"feature envy","none",2019-03-29 14:31:55,"function","com.alibaba.android.arouter.facade.enums.#getClassName",2019-03-25 16:38:58,"git@github.com:alibaba/ARouter.git","java","git@github.com:alibaba/ARouter.git","93b328569bbdbf75e4aa87f0ecf48c69600591b2",3699227,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
